event_id,artist,price_zone,area,offer,ticket_price,currency,offer_type,url_id,city,venue,date,popularity,genre
vvG1IZ9fqFoPVW,blink182,5,20,00014C80000B,139.5,USD,AISLE,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,5,0,00014C80000B,139.5,USD,AISLE,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,5,2,00014C80000B,139.5,USD,AISLE,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,19,000010A20006,179.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,23,000010A20006,179.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,22,000010A20006,179.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,2,000010A20006,179.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,20,000010A20006,179.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,21,000010A20006,179.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,16,000010A20006,179.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,0,000010A20006,179.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,19,10210006,179.5,USD,VIP3,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,23,10210006,179.5,USD,VIP3,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,22,10210006,179.5,USD,VIP3,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,2,10210006,179.5,USD,VIP3,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,20,10210006,179.5,USD,VIP3,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,21,10210006,179.5,USD,VIP3,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,16,10210006,179.5,USD,VIP3,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,8,0,10210006,179.5,USD,VIP3,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,7,20,000010A20006,189.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,7,23,000010A20006,189.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,7,2,000010A20006,189.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,7,19,000010A20006,189.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,7,20,10210006,189.5,USD,VIP3,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,7,23,10210006,189.5,USD,VIP3,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,7,2,10210006,189.5,USD,VIP3,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,7,19,10210006,189.5,USD,VIP3,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,6,23,000010A20006,209.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
vvG1IZ9fqFoPVW,blink182,6,15,000010A20006,209.5,USD,VIP4,0A005D4748465D3D,Los Angeles,Banc of California Stadium,6/16/23,2,Rock
